Feature,Importance
A3,0.047647499395246685
A20,0.04671376115007479
A30,0.04434546065558938
A18,0.0428100303878833
A7,0.0406539147684005
A27,0.03884363176240761
A14,0.03733184244695445
A24,0.03675072768255276
A12,0.03417550819319198
A22,0.03355082432835111
A37,0.033081436563570855
A31,0.03282970274161628
A13,0.031867509257181965
A16,0.03178355039431856
A5,0.031738818663641755
A26,0.03046276166812261
A34,0.029860725859022844
A6,0.029311338123274834
A38,0.028838354967781164
A0,0.028571484999643838
A23,0.02821985854649431
A15,0.026714883058993867
A11,0.026440955719371915
A21,0.025779586019154345
A29,0.02548886963284964
A32,0.023388206498870953
A19,0.019679700452712143
A1,0.019074900427696984
A9,0.01825936967565284
A2,0.01577646747941631
A10,0.01571160918399799
A33,0.010518169824224363
A25,0.007359463636567453
A36,0.006577367362472958
A35,0.005574946070897895
A4,0.005412797413087165
A8,0.005412089646676753
A28,0.0018369361851973559
A17,0.001604939156837612
